[2025-12-26T23:05:49Z][INFO] [PS] doh-enforcement.ps1 ok
[2025-12-26T23:05:49Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-26T23:05:49Z][INFO] [PS] wfp-apply.ps1 ok
[2025-12-26T23:05:49Z][INFO] [PS] policy.network.block_quic=true (ensure enforced)
[2025-12-27T00:42:28Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T20:45:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T20:50:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T20:55:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T21:00:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T21:05:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T21:10:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T21:15:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T21:20:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T21:25:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T21:30:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T21:35:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T21:40:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T21:45:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T21:50:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T21:55:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T22:00:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T22:05:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T22:10:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T22:15:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-28T22:20:06Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T01:46:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T01:50:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T01:55:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T02:00:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T02:05:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T02:10:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T02:15:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T02:20:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T02:25:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T02:30:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T02:35:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T02:40:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T02:45:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T02:50:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T02:55:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T03:00:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T03:05:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T03:10:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T03:15:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T03:20:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T03:25:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T03:30:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T03:35:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T03:40:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T03:45:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T03:50:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T03:55:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T04:00:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T04:05:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T04:10:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T04:15:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T04:20:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T04:25:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T04:30:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T04:35:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T04:40:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T04:45:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T04:50:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T04:55:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T05:00:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T05:05:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T05:10:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T05:15:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T05:20:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T05:25:04Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T05:30:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T05:35:05Z][INFO] [WFP] mode=relax targets=none (skipped)
[2025-12-29T05:40:05Z][INFO] [WFP] mode=relax targets=none (skipped)
